customer_id,group,revenue_pre_w1,revenue_pre_w2,revenue_pre_w3,revenue_post,engagement_tier,region,device_type,plan_type,tenure_months,new_customer
CUST_000001,Control,26.69,29.94,11.49,39.77,low,West,Desktop,Premium,18,0
CUST_000002,Treatment,45.56,48.54,67.86,53.37,high,East,Desktop,Basic,17,0
CUST_000003,Treatment,28.76,33.43,33.38,39.75,low,North,Mobile,Basic,31,0
CUST_000004,Treatment,127.46,130.76,147.07,177.26,medium,North,Mobile,Enterprise,4,1
CUST_000005,Treatment,75.0,89.13,88.54,80.3,low,East,Mobile,Enterprise,10,0
CUST_000006,Treatment,30.12,6.7,34.92,34.16,medium,East,Desktop,Basic,41,0
CUST_000007,Treatment,33.16,33.71,45.86,36.87,medium,West,Mobile,Basic,10,0
CUST_000008,Control,75.66,67.99,75.23,72.99,low,North,Desktop,Premium,28,0
CUST_000009,Control,43.36,27.2,31.63,45.02,low,East,Mobile,Premium,8,0
CUST_000010,Control,43.55,31.37,31.12,11.23,low,South,Desktop,Premium,36,0
CUST_000011,Control,30.14,59.08,67.01,60.34,low,North,Desktop,Enterprise,35,0
CUST_000012,Treatment,34.57,29.57,31.94,20.21,low,North,Desktop,Basic,9,0
CUST_000013,Control,31.07,42.45,20.63,21.04,low,North,Tablet,Premium,1,1
CUST_000014,Control,42.37,37.76,40.96,40.77,medium,West,Mobile,Basic,1,1
CUST_000015,Control,27.04,22.46,14.82,13.63,medium,South,Mobile,Basic,17,0
CUST_000016,Treatment,16.88,25.32,13.84,29.47,low,East,Desktop,Premium,32,0
CUST_000017,Treatment,73.42,66.57,68.61,60.54,low,West,Desktop,Premium,39,0
CUST_000018,Control,90.72,95.21,93.86,96.42,high,East,Desktop,Premium,22,0
CUST_000019,Treatment,57.43,55.01,65.6,98.39,high,East,Desktop,Basic,19,0
CUST_000020,Control,21.05,19.25,21.98,28.17,medium,East,Desktop,Basic,6,0
CUST_000021,Treatment,30.53,21.12,16.07,33.18,low,North,Desktop,Basic,5,1
CUST_000022,Treatment,67.59,63.66,59.83,73.44,high,South,Mobile,Premium,13,0
CUST_000023,Control,19.7,21.06,21.63,12.86,low,South,Desktop,Basic,10,0
