customer_id,group,revenue_pre_w1,revenue_pre_w2,revenue_pre_w3,revenue_post,engagement_score_pre_w1,engagement_score_pre_w2,engagement_score_pre_w3,engagement_score_post,support_tickets_pre_w1,support_tickets_pre_w2,support_tickets_pre_w3,support_tickets_post,customer_churned,new_customer,region,device_type
CUST_001978,Control,11.28,2.34,10.21,7.75,50.11,57.18,52.07,50.11,4.07,7.64,5.19,0.32,0,1,East,Desktop
CUST_003881,Control,45.65,56.96,47.05,50.8,53.13,49.65,47.29,49.54,5.47,3.26,6.52,4.81,0,0,East,Desktop
CUST_000053,Control,57.5,73.87,46.74,72.25,48.36,55.1,50.39,48.84,7.19,6.07,4.69,3.82,0,0,South,Mobile
CUST_002552,Control,143.73,153.42,140.99,146.55,66.79,55.18,46.21,48.37,6.29,5.7,4.29,3.71,0,0,South,Desktop
CUST_002247,Control,30.78,37.1,45.66,52.57,63.14,55.02,40.08,36.97,10.93,12.22,9.37,7.53,0,0,East,Desktop
CUST_000271,Control,124.48,136.54,124.24,122.62,42.7,40.67,46.15,42.1,2.86,1.71,0.0,0.0,0,0,North,Mobile
CUST_000602,Control,23.6,24.16,27.17,40.74,57.57,47.3,56.68,47.32,2.77,2.26,0.79,0.0,0,0,West,Desktop
CUST_002442,Control,41.89,28.46,22.5,31.37,43.51,56.4,42.56,51.34,4.96,2.6,2.92,2.81,0,0,South,Mobile
CUST_003287,Control,69.71,69.31,93.15,89.0,60.31,45.62,62.88,60.5,1.51,4.2,2.59,2.75,0,0,East,Desktop
CUST_002968,Control,47.73,47.69,52.31,42.03,39.5,34.63,47.45,42.28,8.63,4.04,3.78,2.91,1,0,West,Mobile
CUST_004713,Control,90.14,91.86,92.97,109.83,49.94,61.36,65.15,61.3,7.14,6.58,6.33,3.01,1,1,North,Desktop
CUST_009033,Treatment,10.13,16.6,8.89,0.0,30.41,42.27,51.12,62.18,4.35,4.67,2.48,1.94,0,1,West,Mobile
CUST_001788,Control,33.42,19.82,13.44,30.63,24.83,51.08,60.99,55.02,1.34,0.22,1.13,1.26,0,0,West,Mobile
CUST_001699,Control,85.05,82.44,83.04,105.03,58.27,42.78,64.46,60.63,0.0,4.4,3.79,1.95,0,0,West,Tablet
CUST_003226,Control,17.45,11.69,3.6,5.36,50.84,52.85,50.84,48.91,6.27,2.08,0.37,5.61,0,1,North,Tablet
CUST_000404,Control,340.94,348.99,361.96,388.61,47.33,54.08,48.39,52.6,5.35,6.11,4.58,3.94,0,0,West,Desktop
CUST_003535,Control,22.87,30.73,30.01,37.76,48.5,39.19,44.72,47.04,4.3,4.65,3.56,1.74,0,1,West,Mobile
CUST_006047,Treatment,14.04,24.19,19.25,32.58,39.88,55.7,52.87,60.65,2.89,3.86,4.25,4.45,1,0,East,Desktop
CUST_003048,Control,75.35,89.05,75.56,89.76,33.33,45.31,54.74,55.01,4.82,1.45,2.19,1.62,0,0,South,Mobile
CUST_008863,Treatment,50.84,59.01,53.14,73.76,36.95,33.25,45.04,45.04,0.51,1.48,2.72,0.24,0,0,North,Tablet
CUST_007147,Treatment,5.21,25.82,25.47,34.58,57.15,46.94,47.21,44.94,0.41,3.68,3.98,1.15,0,1,North,Desktop
CUST_000508,Control,164.86,173.44,166.59,171.91,49.84,48.39,47.08,46.71,4.58,4.59,3.08,4.39,1,0,North,Mobile
CUST_004477,Control,23.01,11.8,5.78,11.39,55.44,56.2,55.22,51.67,6.06,2.35,4.43,6.46,1,0,West,Mobile
CUST_001678,Control,15.58,26.18,17.13,8.3,40.63,43.01,42.7,50.42,7.15,6.21,5.51,3.71,0,0,East,Mobile
CUST_002021,Control,15.12,16.47,18.46,37.97,69.39,57.16,60.36,60.17,1.72,1.03,3.6,0.0,0,0,North,Desktop
CUST_001683,Control,0.0,10.84,1.14,14.04,58.21,36.79,45.08,44.56,5.06,3.14,3.57,2.26,1,1,East,Mobile
CUST_001650,Control,31.43,10.1,6.46,19.11,65.19,65.61,47.76,47.31,0.61,1.99,4.12,0.0,1,0,North,Desktop
CUST_002422,Control,23.63,20.28,15.54,37.57,41.17,54.96,46.74,43.15,4.75,2.86,4.19,4.53,0,0,West,Desktop
CUST_007538,Treatment,41.62,41.27,55.04,67.45,61.62,38.61,40.06,34.95,3.5,3.85,3.88,5.09,0,1,West,Desktop
CUST_004794,Control,68.82,58.96,70.93,70.28,59.78,48.22,47.56,52.26,7.43,4.22,4.84,4.45,0,0,West,Mobile
CUST_009637,Treatment,23.29,45.81,32.68,41.84,56.61,46.09,40.03,41.5,0.39,2.32,2.05,0.0,0,0,East,Tablet
CUST_001016,Control,10.58,8.47,1.33,7.26,51.39,54.88,53.61,48.88,3.09,0.76,1.84,0.0,1,0,East,Desktop
CUST_008922,Treatment,16.57,13.35,25.8,19.87,63.57,43.88,47.49,53.89,2.51,5.39,2.14,4.33,0,0,South,Desktop
CUST_003045,Control,26.94,31.92,26.68,31.81,59.28,29.08,45.02,50.06,7.86,5.44,7.08,6.36,0,0,South,Mobile
CUST_003499,Control,90.19,77.11,72.12,98.51,54.46,49.82,43.32,45.06,4.48,1.45,1.8,2.02,0,0,East,Mobile
CUST_005525,Treatment,19.53,13.88,0.86,0.01,49.57,56.96,59.33,56.47,6.25,6.33,3.61,2.6,0,0,East,Desktop
CUST_009555,Treatment,16.89,9.89,21.08,0.0,53.74,52.59,40.46,41.79,2.27,4.45,2.57,3.74,0,0,West,Desktop
CUST_002847,Control,53.22,38.81,70.12,65.66,47.21,53.5,59.9,63.32,3.83,5.54,4.06,2.83,0,0,West,Desktop
CUST_000836,Control,103.36,96.57,100.9,111.02,45.16,32.5,50.49,51.53,6.9,5.77,4.59,5.84,0,0,West,Desktop
CUST_004864,Control,23.68,7.39,14.79,39.74,39.1,42.83,56.58,55.51,2.02,0.46,2.79,0.0,1,1,West,Desktop
CUST_003298,Control,161.81,167.19,190.02,188.84,47.96,30.1,48.07,50.45,5.11,5.22,6.13,4.06,1,0,South,Desktop
CUST_007962,Treatment,23.74,31.39,32.13,25.43,46.92,53.36,52.64,49.34,4.91,5.16,3.9,4.39,0,0,East,Tablet
CUST_003146,Control,135.69,141.6,145.94,154.44,47.74,42.64,56.0,50.04,4.62,6.16,4.51,6.3,0,0,East,Mobile
CUST_006116,Treatment,18.22,26.17,16.78,28.78,56.14,62.45,48.77,51.79,4.76,3.58,4.81,4.89,1,0,South,Mobile
CUST_001902,Control,26.25,37.9,19.66,17.48,41.18,42.71,43.76,45.37,2.78,0.0,2.81,4.95,1,0,South,Mobile
CUST_001412,Control,18.54,18.88,13.5,17.22,54.96,58.65,51.94,53.75,6.75,7.49,3.66,9.06,0,0,North,Mobile
CUST_000624,Control,243.51,247.35,254.78,273.25,53.43,48.31,32.71,30.66,4.74,3.48,3.33,1.51,0,0,West,Desktop
CUST_003504,Control,24.11,34.46,34.18,54.75,52.04,58.61,34.78,34.32,5.81,4.64,3.32,2.91,1,0,West,Mobile
CUST_003067,Control,88.65,115.07,93.02,119.47,40.02,40.28,47.93,48.54,4.49,2.9,3.77,3.84,0,0,West,Mobile
CUST_000642,Control,11.41,8.89,4.45,25.65,47.57,46.42,55.29,52.34,6.95,9.38,5.04,3.75,0,0,West,Desktop
CUST_002171,Control,190.05,206.1,204.96,208.14,55.01,43.58,46.39,51.63,0.47,1.2,2.39,1.13,0,0,West,Desktop
CUST_006822,Treatment,32.13,24.02,22.24,26.53,49.46,46.61,51.96,53.59,2.35,2.65,0.91,1.6,0,0,West,Desktop
CUST_007419,Treatment,181.7,186.33,183.35,210.67,40.61,44.51,50.0,42.78,10.66,8.61,8.95,6.96,0,0,West,Mobile
CUST_001720,Control,17.14,15.4,21.76,15.17,49.48,53.46,48.74,44.16,3.55,4.62,4.07,5.71,1,0,West,Desktop
CUST_001303,Control,1.43,17.79,11.21,0.0,58.68,45.39,41.89,37.51,1.61,0.11,3.31,3.1,1,0,West,Desktop
CUST_007828,Treatment,9.99,13.48,26.54,34.95,58.43,54.16,61.3,61.21,2.77,6.21,6.0,3.26,0,1,North,Mobile
CUST_005793,Treatment,5.75,30.15,18.5,24.52,43.51,60.48,48.18,51.76,5.94,6.11,3.65,3.3,0,0,East,Desktop
CUST_009926,Treatment,32.24,0.0,10.3,3.27,40.67,47.43,43.35,48.07,9.35,7.44,2.99,5.49,0,0,West,Desktop
CUST_008338,Treatment,47.47,57.92,64.98,61.46,30.89,36.29,47.34,48.62,0.0,0.3,0.0,1.12,0,0,East,Mobile
CUST_003436,Control,101.41,102.99,103.51,119.35,51.22,61.17,54.31,58.34,6.03,7.67,6.52,4.48,0,1,East,Tablet
CUST_003657,Control,61.66,49.57,67.24,52.65,37.25,60.66,55.82,57.32,5.89,5.89,3.79,4.34,0,0,North,Desktop
CUST_005549,Treatment,0.72,2.48,2.0,15.31,41.78,53.78,59.28,56.53,2.74,4.45,3.58,4.97,0,0,East,Mobile
CUST_000066,Control,3.41,3.67,15.63,3.35,44.71,53.44,36.12,35.06,5.54,2.48,3.9,4.29,0,0,South,Tablet
CUST_002418,Control,12.24,17.85,10.29,18.62,52.65,50.62,48.66,47.97,4.48,7.28,3.35,3.26,0,0,North,Desktop
CUST_003693,Control,42.16,40.88,49.32,50.74,58.71,60.04,44.96,45.83,9.37,7.12,6.86,3.86,0,0,South,Mobile
CUST_004000,Control,0.0,7.89,16.76,14.03,42.24,43.93,50.5,59.77,5.7,4.21,2.89,3.83,1,1,West,Mobile
CUST_005498,Treatment,0.0,14.52,0.0,6.46,45.22,36.04,45.42,39.28,3.29,3.5,5.38,1.36,0,0,East,Desktop
CUST_000439,Control,3.45,2.25,1.1,0.0,32.6,40.34,59.44,63.33,5.98,6.29,4.11,2.54,0,0,South,Tablet
CUST_003567,Control,17.23,29.89,24.97,27.6,68.36,76.36,52.22,46.89,0.23,0.0,3.58,0.0,0,0,South,Tablet
CUST_006932,Treatment,251.01,235.21,268.26,284.05,42.38,55.82,43.25,49.7,7.81,0.82,5.41,3.58,0,0,West,Desktop
CUST_001819,Control,19.41,25.91,9.01,19.38,42.52,45.93,64.06,57.82,2.91,2.44,0.74,3.04,1,0,West,Desktop
CUST_003606,Control,20.37,12.6,24.43,20.35,57.52,43.86,52.15,55.48,7.29,8.73,6.28,3.65,0,0,West,Mobile
CUST_002795,Control,43.68,27.95,34.19,38.33,42.61,49.77,37.33,40.91,2.78,1.62,1.73,3.86,0,0,East,Mobile
CUST_005078,Treatment,43.92,49.83,43.51,48.78,39.56,48.64,59.95,62.75,0.0,0.0,1.08,0.0,0,1,West,Desktop
CUST_002466,Control,21.75,32.2,29.76,17.7,44.97,55.89,53.32,51.58,1.88,6.05,4.7,2.17,1,0,North,Desktop
CUST_004313,Control,4.92,7.92,3.13,0.0,63.86,49.56,38.67,35.71,4.0,2.89,1.83,2.79,0,0,East,Mobile
CUST_005234,Treatment,132.57,136.43,132.68,145.07,64.54,43.19,46.14,38.58,3.26,3.0,3.16,1.89,0,1,South,Desktop
CUST_006476,Treatment,40.35,48.23,41.6,47.7,55.41,45.46,52.03,50.79,0.0,0.84,0.17,0.91,0,1,West,Mobile
